movie_name,year,daily_bo1,theaters_count1,gross_change1,daily_bo2,theaters_count2,gross_change2,daily_bo3,theaters_count3,gross_change3,daily_bo4,theaters_count4,gross_change4,daily_bo5,theaters_count5,gross_change5,daily_bo6,theaters_count6,gross_change6,daily_bo7,theaters_count7,gross_change7,daily_bo8,theaters_count8,gross_change8,daily_bo9,theaters_count9,gross_change9,daily_bo10,theaters_count10,gross_change10,daily_bo11,theaters_count11,gross_change11,daily_bo12,theaters_count12,gross_change12,daily_bo13,theaters_count13,gross_change13,daily_bo14,theaters_count14,gross_change14,daily_bo15,theaters_count15,gross_change15,daily_bo16,theaters_count16,gross_change16,daily_bo17,theaters_count17,gross_change17,daily_bo18,theaters_count18,gross_change18,daily_bo19,theaters_count19,gross_change19,daily_bo20,theaters_count20,gross_change20,daily_bo21,theaters_count21,gross_change21,daily_bo22,theaters_count22,gross_change22,daily_bo23,theaters_count23,gross_change23,daily_bo24,theaters_count24,gross_change24,daily_bo25,theaters_count25,gross_change25,daily_bo26,theaters_count26,gross_change26,daily_bo27,theaters_count27,gross_change27,daily_bo28,theaters_count28,gross_change28,daily_bo29,theaters_count29,gross_change29,daily_bo30,theaters_count30,gross_change30
A Star Is Born,2018,15670638,3686,0,14916280,3686,-4.8,12321133,3686,-17.4,6744451,3686,-45.3,6053663,3686,-10.2,4591089,3686,-24.2,4513106,3686,-1.7,8544865,3708,89.3,11810002,3708,38.2,8090338,3708,-31.5,2933257,3708,-63.7,3934191,3708,34.1,2928489,3708,-25.6,2674744,3708,-8.7,5628221,3884,110.4,8040826,3884,42.9,5382035,3884,-33.1,1843623,3884,-65.7,2631887,3884,42.8,1968340,3884,-25.2,2006222,3884,1.9,4153857,3904,107.0,5981514,3904,44.0,3901708,3904,-34.8,1320852,3904,-66.1,1871387,3904,41.7,1302272,3904,-30.4,1425576,3904,9.5,3281147,3431,130.2,4766230,3431,45.3
Solo: A Star Wars Story,2018,35375125,4381,0,24601896,4381,-30.5,24443468,4381,-0.6,18596323,4381,-23.9,7295767,4381,-60.8,4855886,4381,-33.4,4424227,4381,-8.9,8121086,4381,83.6,12318620,4381,51.7,8957176,4381,-27.3,2964621,4381,-66.9,3987363,4381,34.5,2544321,4381,-36.2,2465595,4381,-3.1,4055635,4335,64.5,6551179,4335,61.5,5141761,4335,-21.5,1803047,4335,-64.9,2265615,4335,25.7,1617851,4335,-28.6,1377525,4335,-14.9,2488274,3182,80.6,3593143,3182,44.4,3919639,3182,9.1,1100258,3182,-71.9,1329329,3182,20.8,1008965,3182,-24.1,928175,3182,-8.0,1269170,2338,36.7,1914444,2338,50.8
Venom,2018,32503530,4250,0,26371927,4250,-18.9,21380299,4250,-18.9,9631343,4250,-55.0,8228610,4250,-14.6,4731282,4250,-42.5,4255160,4250,-10.1,9775629,4250,129.7,15275974,4250,56.3,9954504,4250,-34.8,2835694,4250,-71.5,3735722,4250,31.7,2238934,4250,-40.1,2101487,4250,-6.1,5085966,3887,142.0,7915856,3887,55.6,5042065,3887,-36.3,1288117,3887,-74.5,1837977,3887,42.7,1124466,3887,-38.8,1167772,3887,3.9,2867294,3567,145.5,4770382,3567,66.4,3014705,3567,-36.8,802489,3567,-73.4,1130936,3567,40.9,965481,3567,-14.6,779747,3567,-19.2,2061709,3067,164.4,3608411,3067,75.0
Ralph Breaks the Internet,2018,18340440,4017,0,10172331,4017,-44.5,21711098,4017,113.4,21178540,4017,-2.5,13347996,4017,-37.0,2251879,4017,-83.1,3235011,4017,43.7,1650565,4017,-49.0,1650373,4017,0.1,5748927,4017,248.3,11908969,4017,107.2,7909049,4017,-33.6,1152644,4017,-85.4,2139443,4017,85.6,1218513,4017,-43.0,1102107,4017,-9.6,3515711,3795,219.0,7762516,3795,120.8,4975604,3795,-35.9,861238,3795,-82.7,1501231,3795,74.3,815369,3795,-45.7,726324,3795,-10.9,2096904,3575,188.7,4317109,3575,105.9,2860005,3575,-33.8,634745,3575,-77.8,1122679,3575,76.9,741056,3575,-34.0,846554,3575,14.2
Spider-Man: Into the Spider-Verse,2018,12665081,3813,0,13012817,3813,2.7,9685478,3813,-25.6,2765829,3813,-71.4,4301097,3813,55.5,2783837,3813,-35.3,2885924,3813,3.7,4807821,3813,66.6,6206634,3813,29.1,5449207,3813,-12.2,3349758,3813,-38.5,5630385,3813,68.1,5901236,3813,4.8,5883626,3813,-0.3,6431491,3813,9.3,6509977,3813,1.2,5853064,3813,-10.1,4023183,3813,-31.3,6185793,3813,53.8,3411566,3813,-44.8,3107542,3813,-8.9,4073858,3419,31.1,5388064,3419,32.3,3664963,3419,-32.0,1268371,3419,-65.4,1600986,3419,26.2,1002421,3419,-37.4,925436,3419,-7.7,2200810,3029,137.8,4087944,3029,85.7
A Quiet Place,2018,18861111,3508,0,19086510,3508,1.2,12255941,3508,-35.8,4170622,3508,-66.0,5364754,3508,28.6,3664805,3508,-31.7,3632142,3508,-0.9,10503630,3589,189.2,13494901,3589,28.5,8971518,3589,-33.5,2635801,3589,-70.6,3136605,3589,19.0,2256942,3589,-28.0,2323429,3589,2.9,6406541,3808,175.7,9356926,3808,46.1,5148342,3808,-45.0,1513108,3808,-70.6,2042162,3808,35.0,1450352,3808,-29.0,1247159,3808,-14.0,3299508,3565,164.6,4784050,3565,45.0,2921419,3565,-38.9,893411,3565,-69.4,1143854,3565,28.0,835189,3565,-27.0,893654,3565,7.0,2338296,3413,161.7,3249180,3413,39.0
Crazy Rich Asians,2018,5013478,3303,0,3753291,3303,-25.1,7267366,3384,93.6,10284759,3384,41.5,8958015,3384,-12.9,3631134,3384,-59.5,5523718,3384,52.1,3733627,3384,-32.4,3643559,3384,-2.4,7020104,3526,92.7,10346442,3526,47.4,7441656,3526,-28.1,2665261,3526,-64.2,4304963,3526,61.5,2667019,3526,-38.0,2472996,3526,-7.3,5836591,3865,136.0,7896679,3865,35.3,8231075,3865,4.2,6611877,3865,-19.7,2292830,3865,-65.3,1643844,3865,-28.3,1381881,3865,-15.9,3845590,3865,178.3,5852228,3865,52.2,3450586,3865,-41.0,1204456,3865,-65.1,1711742,3865,42.1,1106414,3865,-35.4,1058723,3865,-4.3
Mary Poppins Returns,2018,4763547,4090,0,4051124,4090,-15.0,6704913,4090,65.5,8646755,4090,29.0,8171453,4090,-5.5,6151194,4090,-24.7,11457469,4090,86.3,10900660,4090,-4.9,10063643,4090,-7.7,10587273,4090,5.2,9541501,4090,-9.9,8224343,4090,-13.8,6666586,4090,-18.9,8661334,4090,29.9,4413780,4090,-49.0,3950730,4090,-10.5,5057940,4090,28.0,6595052,4090,30.4,4207965,4090,-36.2,1198126,4090,-71.5,1612679,4090,34.6,930345,4090,-42.3,883573,4090,-5.0,1785823,3253,102.1,3542037,3253,98.3,2322833,3253,-34.4,522671,3253,-77.5,877345,3253,67.9,507291,3253,-42.2,487829,3253,-3.8
Hotel Transylvania 3: Summer Vacation,2018,16930506,4267,0,15217792,4267,-10.1,11927927,4267,-21.6,5021214,4267,-57.9,8505132,4267,69.4,4726875,4267,-44.4,4333438,4267,-8.3,6755090,4267,55.9,9267347,4267,37.2,7743272,4267,-16.4,3310642,4267,-57.2,5360662,4267,61.9,3604864,4267,-32.8,2942356,4267,-18.4,3743385,4005,27.2,4865330,4005,30.0,3644925,4005,-25.1,1870542,4005,-48.7,3077345,4005,64.5,2253664,4005,-26.8,1877189,4005,-16.7,2438242,3162,29.9,3280964,3162,34.6,2285365,3162,-30.3,1266442,3162,-44.6,1876413,3162,48.2,1287858,3162,-31.4,1086226,3162,-15.7,1423775,2589,31.1,2221728,2589,56.0
Fantastic Beasts: The Crimes of Grindelwald,2018,25473261,4163,0,21321824,4163,-16.3,15368019,4163,-27.9,5074414,4163,-67.0,6959720,4163,37.2,6789283,4163,-2.4,6192290,4163,-8.8,11604272,4163,87.4,11281377,4163,-2.8,6489849,4163,-42.5,1594100,4163,-75.4,2234749,4163,40.2,1392362,4163,-37.7,1365886,4163,-1.9,3077332,3851,125.3,5020876,3851,63.2,3263348,3851,-35.0,828259,3851,-74.6,1362122,3851,64.5,903248,3851,-33.7,805933,3851,-10.8,1783921,3451,121.3,3120787,3451,74.9,2049138,3451,-34.3,591474,3451,-71.1,923392,3451,56.1,593524,3451,-35.7,538650,3451,-9.2,1022480,2606,89.8,1582248,2606,54.7
