movie_name,year,daily_bo1,theaters_count1,gross_change1,daily_bo2,theaters_count2,gross_change2,daily_bo3,theaters_count3,gross_change3,daily_bo4,theaters_count4,gross_change4,daily_bo5,theaters_count5,gross_change5,daily_bo6,theaters_count6,gross_change6,daily_bo7,theaters_count7,gross_change7,daily_bo8,theaters_count8,gross_change8,daily_bo9,theaters_count9,gross_change9,daily_bo10,theaters_count10,gross_change10,daily_bo11,theaters_count11,gross_change11,daily_bo12,theaters_count12,gross_change12,daily_bo13,theaters_count13,gross_change13,daily_bo14,theaters_count14,gross_change14,daily_bo15,theaters_count15,gross_change15,daily_bo16,theaters_count16,gross_change16,daily_bo17,theaters_count17,gross_change17,daily_bo18,theaters_count18,gross_change18,daily_bo19,theaters_count19,gross_change19,daily_bo20,theaters_count20,gross_change20,daily_bo21,theaters_count21,gross_change21,daily_bo22,theaters_count22,gross_change22,daily_bo23,theaters_count23,gross_change23,daily_bo24,theaters_count24,gross_change24,daily_bo25,theaters_count25,gross_change25,daily_bo26,theaters_count26,gross_change26,daily_bo27,theaters_count27,gross_change27,daily_bo28,theaters_count28,gross_change28,daily_bo29,theaters_count29,gross_change29,daily_bo30,theaters_count30,gross_change30
Can You Ever Forgive Me?,2018,43910,5,0,65066,5,48.2,52534,5,-19.3,17121,5,-67.4,15377,5,-10.2,18706,5,21.6,17425,5,-6.8,102598,25,488.8,151271,25,47.4,102496,25,-32.2,32823,25,-68.0,40746,25,24.1,31656,25,-22.3,28411,25,-10.3,309768,180,990.3,450646,180,45.5,271904,180,-39.7,89201,180,-67.2,104627,180,17.3,95773,180,-8.5,92918,180,-3.0,374998,391,303.6,662228,391,76.6,405196,391,-38.8,200024,391,-50.6,172021,391,-14.0,131896,391,-23.3,96845,391,-26.6,255703,555,164.0,390610,555,52.8
Early Man,2018,849299,2494,0,1279865,2494,50.7,1061361,2494,-17.1,1069623,2494,0.8,351639,2494,-67.1,226896,2494,-35.5,240739,2494,6.1,344615,2494,43.1,793064,2494,130.1,636284,2494,-19.8,90757,2494,-85.7,124078,2494,36.7,93036,2494,-25.0,91193,2494,-2.0,80884,897,-11.3,218826,897,170.5,186552,897,-14.7,43063,897,-76.9,53763,897,24.8,46818,897,-12.9,43004,897,-8.1,25474,186,-40.8,43285,186,69.9,36300,186,-16.1,14552,186,-59.9,21088,186,44.9,16444,186,-22.0,17005,186,3.4,16521,144,-2.8,29778,144,80.2
Sanju,2018,790238,356,0,1015867,356,28.6,917553,356,-9.7,486905,356,-46.9,602987,356,23.8,621784,357,3.1,292245,357,-53.0,372645,359,27.5,493142,359,32.3,415679,359,-15.7,145675,359,-65.0,245488,359,68.5,131407,359,-46.5,102844,359,-21.7,147811,223,43.7,208241,223,40.9,158132,223,-24.1,53361,223,-66.3,109824,223,105.8,55995,223,-49.0,43045,223,-23.1,59027,112,37.1,92855,112,57.3,71456,112,-23.0,21869,112,-69.4,43105,112,97.1,23119,112,-46.4,15265,112,-34.0,19032,44,24.7,33766,44,77.4
Unsane,2018,1356870,2023,0,1457483,2023,7.4,947792,2023,-35.0,396563,2023,-58.2,516071,2023,30.1,355480,2023,-31.1,351204,2023,-1.2,513392,1929,46.2,544415,1929,6.0,392767,1929,-27.9,210078,1929,-46.5,247378,1929,17.8,203199,1929,-17.9,101217,1929,-50.2,30683,163,-69.7,43632,163,42.2,21818,163,-50.0,10464,163,-52.0,13396,163,28.0,10723,163,-20.0,8274,163,-22.8
Beautiful Boy,2018,106562,4,0,66875,4,-37.2,45451,4,-32.0,16377,4,-64.0,15808,4,-3.5,18333,4,16.0,13546,4,-26.1,140405,46,936.5,149000,46,6.1,115583,46,-22.4,38295,46,-66.9,43459,46,13.5,36972,46,-14.9,35531,46,-3.9,183192,192,415.6,260123,192,42.0,210303,192,-19.2,72198,192,-65.7,91867,192,27.2,67185,192,-26.9,76177,192,13.4,393135,540,416.1,577614,540,46.9,374978,540,-35.1,134960,540,-64.0,207899,540,54.0,152370,540,-26.7,132755,540,-12.9,413395,776,211.4,580824,776,40.5
Pandas,2018,59728,33,0,55823,33,-6.5,43364,33,-22.3,18237,33,-57.9,25125,33,37.8,25450,33,1.3,25189,33,-1.0,35129,33,39.5,48477,33,38.0,45255,33,-6.6,25653,33,-43.3,23479,33,-8.5,25198,33,7.3,35336,33,40.2,37689,33,6.7,51230,33,35.9,41900,33,-18.2,16124,33,-61.5,12321,33,-23.6,16579,33,34.6,21891,33,32.0,36532,33,66.9,40089,33,9.7,35661,33,-11.0,18746,33,-47.4,13456,33,-28.2,16851,33,25.2,20475,33,21.5,29877,35,45.9,35124,35,17.6
Mid90s,2018,98500,4,0,86284,4,-12.4,73373,4,-15.0,24227,4,-67.0,30385,4,25.4,21910,4,-27.9,15491,4,-29.3,1341477,1206,8559.7,906418,1206,-32.4,732611,1206,-19.2,300182,1206,-59.0,380886,1206,26.9,201865,1206,-47.0,247358,1206,22.5,428639,1091,73.3,525918,1091,22.7,375966,1091,-28.5,158461,1091,-57.9,208899,1091,31.8,156519,1091,-25.1,102121,1091,-34.8,115096,340,12.7,159062,340,38.2,127348,340,-19.9,78450,340,-38.4,64543,340,-17.7,43018,340,-33.3,29248,340,-32.0,33524,84,14.6,45114,84,34.6
Dog Days,2018,635164,2255,0,405808,2255,-36.1,770005,2442,89.7,1063719,2442,38.1,721042,2442,-32.2,370587,2442,-48.6,589955,2442,59.2,274777,2442,-53.4,229766,2442,-16.4,237508,2387,3.4,353628,2387,48.9,277528,2387,-21.5,129483,2387,-53.3,209290,2387,61.6,147623,2387,-29.5,91359,2387,-38.1,25102,280,-72.5,41559,280,65.6,26963,280,-35.1,10609,280,-60.7,15350,280,44.7,10131,280,-34.0,7976,280,-21.3,12549,123,57.3,21871,123,74.3,20650,123,-5.6,20322,123,-1.6,3931,123,-80.7,2917,123,-25.8,4716,123,61.7
Boy Erased,2018,76378,5,0,77613,5,1.6,53066,5,-31.6,21430,5,-59.6,14579,5,-32.0,16048,5,10.1,14050,5,-12.5,232884,77,1557.5,290683,77,24.8,234606,77,-19.3,108471,77,-53.8,80930,77,-25.4,73509,77,-9.2,57703,77,-21.5,406370,409,604.2,518221,409,27.5,399241,409,-23.0,187955,409,-52.9,167900,409,-10.7,201025,656,19.7,149400,656,-25.7,415335,672,178.0,451440,672,8.7,292815,672,-35.1,99955,672,-65.9,140675,672,40.7,107475,672,-23.6,102680,672,-4.5,168695,660,64.3,250815,660,48.7
Hotel Artemis,2018,1109293,2407,0,1166757,2407,5.2,956740,2407,-18.0,414350,2407,-56.7,548942,2407,32.5,373280,2407,-32.0,244157,2407,-34.6,281177,2299,15.2,376777,2299,34.0,350155,2299,-7.1,175019,2299,-50.0,214739,2299,22.7,168060,2299,-21.7,106528,2299,-36.6,18974,163,-82.2,29765,163,56.9,22815,163,-23.3,14377,163,-37.0,18533,163,28.9,16847,163,-9.1,12498,163,-25.8,3292,40,-73.7,6665,40,102.5,5520,40,-17.2,3237,40,-41.4,3104,40,-4.1,2253,40,-27.4,1458,40,-35.3,3056,18,109.6,4246,18,38.9
A-X-L,2018,821333,1710,0,1212584,1710,47.6,764312,1710,-37.0,202714,1710,-73.5,439340,1710,116.7,188896,1710,-57.0,155756,1710,-17.5,292696,1710,87.9,542854,1710,85.5,521140,1710,-4.0,532998,1710,2.3,133825,1710,-74.9,74743,1710,-44.1,55577,1710,-25.6,50536,555,-9.1,143250,555,183.5,103140,555,-28.0,26816,555,-74.0,26525,555,-1.1,19093,555,-28.0,14102,555,-26.1,10701,110,-24.1,26387,110,146.6,21637,110,-18.0,3235,110,-85.0,4010,110,24.0,8190,110,104.2,3625,110,-55.7,3803,40,4.9,6806,40,79.0
Unbroken: Path to Redemption,2018,817023,1620,0,856661,1620,4.9,565039,1620,-34.0,215503,1620,-61.9,378602,1620,75.7,202521,1620,-46.5,220173,1620,8.7,423785,1484,92.5,534697,1484,26.2,325771,1484,-39.1,132233,1484,-59.4,219518,1484,66.0,124409,1484,-43.3,92184,1484,-25.9,157281,741,70.6,199910,741,27.1,130279,741,-34.8,49123,741,-62.3,84952,741,72.9,52427,741,-38.3,48972,741,-6.6,48063,335,-1.9,64347,335,33.9,47798,335,-25.7,27999,335,-41.4,30966,335,10.6,25035,335,-19.2,21831,335,-12.8,13983,124,-35.9,18381,124,31.5
The Hurricane Heist,2018,947321,2402,0,1234891,2402,30.4,842187,2402,-31.8,313879,2402,-62.7,447681,2402,42.6,314099,2402,-29.8,235863,2402,-24.9,296057,2283,25.5,427318,2283,44.3,309871,2283,-27.5,126794,2283,-59.1,170899,2283,34.8,136349,2283,-20.2,98748,2283,-27.6,29299,128,-70.3,49823,128,70.1,26599,128,-46.6,12462,128,-53.1,14587,128,17.1,9814,128,-32.7,9712,128,-1.0,10701,36,10.2,13998,36,30.8,7577,36,-45.9,4046,36,-46.6,3775,36,-6.7,4173,36,10.5,4451,36,6.7,652,8,-85.4,1043,8,60.0
Every Day,2018,1090043,1667,0,1242649,1667,14.0,683457,1667,-45.0,157195,1667,-77.0,232648,1667,48.0,153548,1667,-34.0,141264,1667,-8.0,450454,1669,218.9,720726,1669,60.0,371174,1669,-48.5,105785,1669,-71.5,153388,1669,45.0,118109,1669,-23.0,83857,1669,-29.0,73424,615,-12.4,107933,615,47.0,70157,615,-35.0,26660,615,-62.0,31991,615,20.0,23354,615,-27.0,17749,615,-24.0,10646,110,-40.0,13415,110,26.0,8317,110,-38.0,4075,110,-51.0,4361,110,7.0,2834,110,-35.0,2863,110,1.0
Once Upon a Deadpool,2018,910346,1566,0,373574,1566,-59.0,747561,1566,100.1,1159024,1566,55.0,776615,1566,-33.0,227312,1566,-70.7,348827,1566,53.5,232597,1566,-33.3,188401,1566,-19.0,225799,1428,19.9,296396,1428,31.3,278018,1428,-6.2,154679,1428,-44.4,28027,94,-81.9,16542,94,-41.0,14465,94,-12.6
Leave No Trace,2018,65425,9,0,80527,9,23.1,73188,9,-9.1,30659,9,-58.1,36792,9,20.0,63671,9,73.1,28403,9,-55.4,135227,37,376.1,158355,37,17.1,109428,37,-30.9,44822,37,-59.0,47569,37,6.1,46099,37,-3.1,42126,37,-8.6,328929,311,680.8,481562,311,46.4,362235,311,-24.8,144190,311,-60.2,182511,311,26.6,140713,311,-22.9,119461,311,-15.1,232925,361,95.0,382720,361,64.3,307327,361,-19.7,124899,361,-59.4,153946,361,23.3,145738,361,-5.3,107551,361,-26.2,130926,289,21.7,203492,289,55.4
Death of a Nation,2018,951090,1005,0,748415,1005,-21.3,657017,1005,-12.2,308075,1005,-53.1,359754,1005,16.8,289216,1005,-19.6,220374,1005,-23.8,284333,825,29.0,394715,825,38.8,308858,825,-21.8,137001,825,-55.6,162569,825,18.7,97600,825,-40.0,82210,825,-15.8,84465,354,2.7,125490,354,48.6,101238,354,-19.3,41355,354,-59.2,50224,354,21.4,40868,354,-18.6,37696,354,-7.8,30051,180,-20.3,50352,180,67.6,38332,180,-23.9,18744,180,-51.1,17541,180,-6.4,12966,180,-26.1,12300,180,-5.1,19443,253,58.1,39302,253,102.1
My Hero Academia: Two Heroes,2018,947636,513,0,911262,515,-3.8,719876,535,-21.0,111769,508,-84.5,1195522,508,969.6,81209,508,-93.2,149572,508,84.2,1021607,508,583.0,9623,508,-99.1,291043,508,2924.5,11766,19,-96.0,273825,319,2227.3,4848,8,-98.2,20186,22,316.4,4812,9,-76.2
God's Not Dead: A Light in Darkness,2018,1133481,1693,0,854606,1693,-24.6,701590,1693,-17.9,279477,1693,-60.2,390199,1693,39.6,247797,1693,-36.5,210931,1693,-14.9,302741,1377,43.5,482006,1377,59.2,309748,1377,-35.7,89958,1377,-71.0,159381,1377,77.2,84658,1377,-46.9,67719,1377,-20.0,30538,193,-54.9,49856,193,63.3,42648,193,-14.5,13088,193,-69.3,17029,193,30.1,10574,193,-37.9,12065,193,14.1,19639,111,62.8,26234,111,33.6,18324,111,-30.2,6292,111,-65.7,8592,111,36.6,7541,111,-12.2,5198,111,-31.1,7301,65,40.5,8867,65,21.4
Kin,2018,1056814,2141,0,1025944,2141,-2.9,952860,2141,-7.1,832085,2141,-12.7,307935,2141,-63.0,175378,2141,-43.0,162595,2141,-7.3,203861,2141,25.4,367578,2141,80.3,232962,2141,-36.6,83854,2141,-64.0,115505,2141,37.7,77774,2141,-32.7,42554,2141,-45.3,9266,116,-78.2,12079,116,30.4,9065,116,-25.0,3438,116,-62.1,5602,116,62.9,3647,116,-34.9,3372,116,-7.5,6085,77,80.5,10085,77,65.7,7370,77,-26.9,2481,77,-66.3,3201,77,29.0,2488,77,-22.3,2218,77,-10.9
Colette,2018,48562,4,0,64326,4,32.5,48291,4,-24.9,15984,4,-66.9,16476,4,3.1,15206,4,-7.7,11585,4,-23.8,111161,38,859.5,169187,38,52.2,106192,38,-37.2,41192,38,-61.2,46395,38,12.6,45377,38,-2.2,39826,38,-12.2,132652,107,233.1,193595,107,45.9,166734,107,-13.9,85506,107,-48.7,66443,107,-22.3,64594,107,-2.8,63168,107,-2.2,290319,593,359.6,423732,593,46.0,285662,593,-32.6,130774,593,-54.2,172924,593,32.2,128080,593,-25.9,106310,593,-17.0,164376,520,54.6,263458,520,60.3
Simmba,2018,512891,301,0,612407,301,19.4,633278,301,3.4,352374,301,-44.4,610806,301,73.3,228569,301,-62.6,161812,301,-29.2,270680,295,67.3,409945,295,51.5,281822,295,-31.3,77867,295,-72.4,136206,295,74.9,65354,295,-52.0,46766,295,-28.4,84910,136,81.6,143734,136,69.3,97809,136,-32.0,22115,136,-77.4,50636,136,129.0,23308,136,-54.0,18181,136,-22.0,32156,70,76.9,53269,70,65.7,48980,70,-8.1,20471,70,-58.2,16648,70,-18.7,8695,70,-47.8,7524,70,-13.5,11095,30,47.5,21338,30,92.3
Action Point,2018,797422,2032,0,897213,2032,12.5,695529,2032,-22.5,296842,2032,-57.3,403551,2032,35.9,274532,2032,-32.0,202944,2032,-26.1,266361,2032,31.2,380891,2032,43.0,304746,2032,-20.0,146254,2032,-52.0,177947,2032,21.7,136208,2032,-23.5,79168,2032,-41.9
Beirut,2018,201901,710,0,170797,710,-15.4,479149,755,180.5,713306,755,48.9,542042,755,-24.0,188844,755,-65.2,226388,755,19.9,172601,755,-23.8,156897,755,-9.1,281787,755,79.6,457408,755,62.3,262715,755,-42.6,102169,755,-61.1,132292,755,29.5,110796,755,-16.2,71797,755,-35.2,71575,237,-0.3,119530,237,67.0,80147,237,-32.9,31900,237,-60.2,37376,237,17.2,32433,237,-13.2,26857,237,-17.2,29918,140,11.4,46241,140,54.6,35559,140,-23.1,12365,140,-65.2,16354,140,32.3,15535,140,-5.0,13108,140,-15.6
Gringo,2018,981062,2404,0,1028381,2404,4.8,712977,2404,-30.7,287986,2404,-59.6,384138,2404,33.4,277551,2404,-27.7,194116,2404,-30.1,201725,2314,3.9,262275,2314,30.0,191891,2314,-26.8,90666,2314,-52.8,123426,2314,36.1,92556,2314,-25.0,73795,2314,-20.3,10167,117,-86.2,15555,117,53.0,10512,117,-32.4,3926,117,-62.7,4853,117,23.6,4682,117,-3.5,3354,117,-28.4,3139,35,-6.4,3297,35,5.0,2724,35,-17.4,1245,35,-54.3,1475,35,18.5,1231,35,-16.5,1148,35,-6.7
Samson,2018,630110,1249,0,743279,1249,18.0,569180,1249,-23.4,313295,1249,-45.0,228164,1249,-27.2,142394,1249,-37.6,146074,1249,2.6,257329,1140,76.2,406552,1140,58.0,306827,1140,-24.5,91498,1140,-70.2,128315,1140,40.2,89596,1140,-30.2,79476,1140,-11.3,77236,434,-2.8,131051,434,69.7,100200,434,-23.5,27439,434,-72.6,34877,434,27.1,28861,434,-17.2,24176,434,-16.2,15609,93,-35.4,28670,93,83.7,27037,93,-5.7,6516,93,-75.9,8374,93,28.5,8078,93,-3.5,5318,93,-34.2,5212,34,-2.0,7896,34,51.5
Cold War,2018,17485,3,0,20940,3,19.8,15928,3,-23.9,8448,3,-47.0,16979,3,101.0,9828,3,-42.1,9608,3,-2.2,11283,3,17.4,18070,3,60.2,14977,3,-17.1,9285,3,-38.0,13808,3,48.7,7466,3,-45.9,7250,3,-2.9,29373,6,305.1,36757,6,25.1,24633,6,-33.0,8680,6,-64.8,10180,6,17.3,11930,6,17.2,10516,6,-11.9,23443,10,122.9,44298,10,89.0,29766,10,-32.8,9847,10,-66.9,10779,10,9.5,11818,10,9.6,11458,10,-3.0,68536,39,498.1,114466,39,67.0
Johnny English Strikes Again,2018,516275,544,0,672550,544,30.3,450070,544,-33.1,115135,544,-74.4,203525,544,76.8,145050,544,-28.7,114160,544,-21.3,270605,552,137.0,471770,552,74.3,294855,552,-37.5,76925,552,-73.9,159235,552,107.0,78315,552,-50.8,65675,552,-16.1,84520,191,28.7,154045,191,82.3,118560,191,-23.0,62515,191,-47.3,49465,191,-20.9,22590,191,-54.3,12545,191,-44.5,29260,77,133.2,50480,77,72.5,35750,77,-29.2,8525,77,-76.2,18490,77,116.9,2275,77,-87.7,2380,77,4.6
Gotti,2018,586212,503,0,587983,503,0.3,545707,503,-7.2,194089,503,-64.4,217296,503,12.0,177180,503,-18.5,133224,503,-24.8,219985,466,65.1,341487,466,55.2,242596,466,-29.0,98398,466,-59.4,122931,466,24.9,101043,466,-17.8,80156,466,-20.7,79117,331,-1.3,125124,331,58.2,112451,331,-10.1,46736,331,-58.4,57802,331,23.7,81243,246,40.6,32635,246,-59.8,23885,100,-26.8,30036,100,25.8,24642,100,-18.0,10515,100,-57.3,13894,100,32.1,9831,100,-29.2,8141,100,-17.2,4763,31,-41.5,7749,31,62.7
Blindspotting,2018,143178,14,0,105062,14,-26.6,90759,14,-13.6,36945,14,-59.3,33989,14,-8.0,34772,14,2.3,24279,14,-30.2,471508,523,1842.0,471039,523,0.1,339001,523,-28.0,170677,523,-49.7,253510,523,48.5,190813,523,-24.7,146954,523,-23.0,194778,523,32.5,271063,523,39.2,198008,523,-27.0,106975,523,-46.0,122646,523,14.6,94601,523,-22.9,57476,523,-39.2,63028,138,9.7,92213,138,46.3,71698,138,-22.2,35220,138,-50.9,39130,138,11.1,27777,138,-29.0,25908,138,-6.7,30120,47,16.3,46455,47,54.2
Burn the Stage: The Movie,2018,1223707,635,0,44441,629,-96.4,1342836,629,2921.6,1032919,629,-23.1
Ya veremos,2018,527474,369,0,597776,369,13.3,678598,369,13.5,455514,369,-32.9,152975,369,-66.4,69831,369,-54.4,62869,369,-10.0,148957,369,136.9,306868,369,106.0,311521,369,1.5,51777,369,-83.4,86190,369,66.5,42706,369,-50.5,29239,369,-31.5,66277,254,126.7,78626,254,18.6,124341,254,58.1,20121,254,-83.8,42070,254,109.1,22426,254,-46.7,13002,254,-42.0,29429,114,126.3,55191,114,87.5,49603,114,-10.1,9348,114,-81.2,15223,114,62.8,8590,114,-43.6,6021,114,-29.9,12491,58,107.5,21619,58,73.1
2.0,2018,728000,314,0,1300000,314,78.6,747000,314,-42.5,133000,314,-82.2,160000,314,20.3,93000,314,-41.9,61000,314,-34.4
Life Itself,2018,747398,2609,0,779687,2609,4.3,596378,2609,-23.5,181144,2609,-69.6,327309,2609,80.7,202603,2609,-38.1,148002,2609,-26.9,221463,2355,49.6,299473,2355,35.2,137863,2355,-54.0,85179,2355,-38.2,142683,2355,67.5,90086,2355,-36.9,66156,2355,-26.6,10585,242,-84.0,14761,242,39.5,13097,242,-11.3,9635,242,-26.4,7970,242,-17.3,6898,242,-13.5,7061,242,2.4
Replicas,2018,933517,2329,0,866412,2329,-7.2,575396,2329,-33.6,211305,2329,-63.3,319235,2329,51.1,185003,2329,-42.0,135005,2329,-27.0,125709,2059,-6.9,178984,2059,42.4,134678,2059,-24.8,101933,2059,-24.3,81698,2059,-19.9,57720,2059,-29.3,51527,2059,-10.7,9485,84,-81.6,14476,84,52.6,10123,84,-30.1,2869,84,-71.7,3717,84,29.6,2845,84,-23.5,3135,84,10.2,4583,51,46.2,8694,51,89.7,3648,51,-58.0,2029,51,-44.4,2032,51,0.1,1811,51,-10.9,1573,51,-13.1,2107,29,33.9,3749,29,77.9
Sgt. Stubby: An American Hero,2018,275463,1633,0,492231,1633,78.7,396709,1633,-19.4,142992,1633,-64.0,132705,1633,-7.2,110604,1633,-16.7,127922,1633,15.7,144500,1386,13.0,243554,1386,68.5,191472,1386,-21.4,57022,1386,-70.2,71944,1386,26.2,67932,1386,-5.6,88524,1386,30.3,34916,218,-60.6,36523,218,4.6,26848,218,-26.5,16743,218,-37.6,24233,218,44.7,23151,218,-4.5,26546,218,14.7,33177,130,25.0,20852,130,-37.1,14834,130,-28.9,17785,130,19.9,12184,130,-31.5,24031,130,97.2,25052,130,4.2,24062,109,-4.0,14738,109,-38.7
Ben Is Back,2018,25197,4,0,30987,4,23.0,24550,4,-20.8,8109,4,-67.0,7329,4,-9.6,7153,4,-2.4,5607,4,-21.6,41856,29,646.5,57604,29,37.6,42220,29,-26.7,17932,29,-57.5,18776,29,4.7,18161,29,-3.3,14323,29,-21.1,113776,162,694.4,153465,162,34.9,131667,162,-14.2,75870,162,-42.4,157608,162,107.7,130443,162,-17.2,129833,162,-0.5,162139,158,24.9,200514,158,23.7,176194,158,-12.1,124391,158,-29.4,157653,158,26.7,81082,158,-48.6,69673,158,-14.1,94881,159,36.2,146668,159,54.6
Gosnell: The Trial of America's Biggest Serial Killer,2018,414828,673,0,395456,673,-4.7,352704,673,-10.8,145624,673,-58.7,191716,673,31.7,174348,673,-9.1,138944,673,-20.3,191114,511,37.5,248346,511,29.9,200823,511,-19.1,91469,511,-54.5,109354,511,19.6,90447,511,-17.3,72051,511,-20.3,128425,467,78.2,151775,467,18.2,110212,467,-27.4,47634,467,-56.8,56040,467,17.6,49969,467,-10.8,40629,467,-18.7,44322,267,9.1,55002,267,24.1,45390,267,-17.5,17088,267,-62.4,22962,267,34.4,21093,267,-8.1,15486,267,-26.6,3267,33,-78.9,4125,33,26.3
Indivisible,2018,609905,830,0,538185,830,-11.8,355011,830,-34.0,138557,830,-61.0,202263,830,46.0,159658,830,-21.1,126294,830,-20.9,250487,742,98.3,305102,742,21.8,205257,742,-32.7,77199,742,-62.4,107278,742,39.0,71147,742,-33.7,60350,742,-15.2,50167,202,-16.9,67861,202,35.3,47786,202,-29.6,26375,202,-44.8,19335,202,-26.7,12244,202,-36.7,9387,202,-23.3,9378,59,0.1,9524,59,1.6,6989,59,-26.6,4019,59,-42.5,2714,59,-32.5,1972,59,-27.3,1442,59,-26.9,3315,22,129.9,3485,22,5.1
Disobedience,2018,84012,5,0,84875,5,1.0,68506,5,-19.3,25812,5,-62.3,25232,5,-2.2,21156,5,-16.2,18780,5,-11.2,98645,31,425.3,115627,31,17.2,91719,31,-20.7,34246,31,-62.7,32974,31,-3.7,34455,31,4.5,32162,31,-6.7,117497,100,265.3,188870,100,60.7,114528,100,-39.4,46642,100,-59.3,47347,100,1.5,52570,100,11.0,44085,100,-16.1,142204,247,222.6,220670,247,55.2,159041,247,-27.9,64790,247,-59.3,73380,247,13.3,60654,247,-17.3,53595,247,-11.6,87151,224,62.6,155970,224,79.0
First Reformed,2018,33778,4,0,36534,4,8.2,27250,4,-25.4,11108,4,-59.2,12788,4,15.1,11184,4,-12.5,10320,4,-7.7,81203,29,686.9,101672,29,25.2,108985,29,7.2,81579,29,-25.1,29494,29,-63.8,28971,29,-1.8,26930,29,-7.0,128368,91,376.7,177410,91,38.2,115669,91,-34.8,48201,91,-58.3,52948,91,9.8,45340,91,-14.4,35675,91,-21.3,150079,334,320.7,224090,334,49.3,177443,334,-20.8,72913,334,-58.9,84021,334,15.2,83802,334,-0.3,78095,334,-6.8,95594,273,22.4,140472,273,46.9
"Juliet, Naked",2018,20416,4,0,23125,4,13.3,17345,4,-25.0,8960,4,-48.3,8062,4,-10.0,8634,4,7.1,7690,4,-10.9,81022,43,953.6,96834,43,19.5,62891,43,-35.1,27441,43,-56.4,30300,43,10.4,30794,43,1.6,25425,43,-17.4,233186,318,817.2,302850,318,29.9,284985,318,-5.9,261147,318,-8.4,91332,318,-65.0,80547,318,-11.8,84477,318,4.9,174691,467,106.8,294509,467,68.6,172440,467,-41.4,72946,467,-57.7,90755,467,24.4,76400,467,-15.8,62362,467,-18.4,81864,265,31.3,123575,265,51.0
Bad Samaritan,2018,644202,2007,0,590786,2007,-8.3,491880,2007,-16.7,199211,2007,-59.5,290344,2007,45.7,202338,2007,-30.3,151164,2007,-25.3,151842,1546,0.4,208225,1546,37.1,158530,1546,-23.9,85246,1546,-46.2,111427,1546,30.7,82598,1546,-25.9,40761,1546,-50.7,3854,48,-90.5,6352,48,64.8,5984,48,-5.8,2960,48,-50.5,3552,48,20.0,2213,48,-37.7,1578,48,-28.7
7 Days in Entebbe,2018,545350,838,0,637505,838,16.9,409790,838,-35.7,168075,838,-59.0,209290,838,24.5,154010,838,-26.4,140045,838,-9.1,170205,836,21.5,285885,836,68.0,180175,836,-37.0,75890,836,-57.9,104530,836,37.7,64960,836,-37.9,43510,836,-33.0
2001: A Space Odyssey,2018,57057,4,0,71642,4,25.6,74060,4,3.4,30258,4,-59.1,25824,4,-14.7,40944,4,58.6,22012,4,-46.2,22623,4,2.8,36274,4,60.3,40341,4,11.2,31176,4,-22.7,21319,4,-31.6,13880,4,-34.9,8440,4,-39.2,14139,5,67.5,29443,5,108.2,26630,5,-9.6,10958,5,-58.9,7528,5,-31.3,13849,5,84.0,10244,5,-26.0,23947,5,133.8,38542,5,60.9,32358,5,-16.0,17750,5,-45.1,17815,5,0.4,25902,5,45.4,13393,5,-48.3,24770,13,84.9,31002,13,25.2
The Sisters Brothers,2018,37519,4,0,48156,4,28.4,29900,4,-37.9,13070,4,-56.3,13141,4,0.5,10272,4,-21.8,8665,4,-15.6,74309,27,757.6,99676,27,34.1,59373,27,-40.4,21684,27,-63.5,29591,27,36.5,22587,27,-23.7,18555,27,-17.9,56607,54,205.1,85456,54,51.0,61462,54,-28.1,39726,54,-35.4,27530,54,-30.7,31673,54,15.0,23532,54,-25.7,74592,129,217.0,110589,129,48.3,78622,129,-28.9,36914,129,-53.0,45726,129,23.9,37878,129,-17.2,31913,129,-15.7,230010,1141,620.7,309191,1141,34.4
Thoroughbreds,2018,436060,549,0,460325,549,5.6,328045,549,-28.7,148795,549,-54.6,169980,549,14.2,152130,549,-10.5,111025,549,-27.0,149195,564,34.4,189685,564,27.1,148810,564,-21.5,69975,564,-53.0,78720,564,12.5,79150,564,0.5,64825,564,-18.1,43770,117,-32.5,63500,117,45.1,53605,117,-15.6,23690,117,-55.8,24175,117,2.0,17805,117,-26.3,17510,117,-1.7
Whitney,2018,479974,451,0,439581,451,-8.4,346017,451,-21.3,141796,451,-59.0,172568,451,21.7,132760,451,-23.1,109726,451,-17.4,149847,408,36.6,226686,408,51.3,170618,408,-24.7,78014,408,-54.3,101752,408,30.4,71383,408,-29.8,56014,408,-21.5,30792,117,-45.0,50473,117,63.9,43197,117,-14.4,20504,117,-52.5,23224,117,13.3,22035,117,-5.1,13772,117,-37.5,8098,39,-41.2,9649,39,19.2,9451,39,-2.1,4957,39,-47.6,5185,39,4.6,5722,39,10.4,4156,39,-27.4,5676,29,36.6,8653,29,52.4
American Animals,2018,49792,4,0,49101,4,-1.4,35900,4,-26.9,14462,4,-59.7,15405,4,6.5,12979,4,-15.7,9959,4,-23.3,66942,42,572.2,87736,42,31.1,75035,42,-14.5,31929,42,-57.4,33423,42,4.7,36937,42,10.5,24646,42,-33.3,61627,72,150.0,81080,72,31.6,67977,72,-16.2,33124,72,-51.3,36097,72,9.0,33714,72,-6.6,27559,72,-18.3,154682,339,461.3,227604,339,47.1,164842,339,-27.6,81481,339,-50.6,90301,339,10.8,86877,339,-3.8,71794,339,-17.4,91734,292,27.8,146800,292,60.0
